

gen best mean std
0 37.309354 -3.141035 8.638977
1 57.499583 6.252312 13.034188
2 57.365272 18.393304 11.378146
3 70.748675 28.267224 9.267006
4 70.925953 32.734527 10.084303
5 70.733133 33.029875 10.704407
6 71.02288 35.706045 10.827712
7 63.80877 38.193651 10.761012
8 63.778695 38.295255 12.301951
9 63.709337 38.286356 14.556628
10 63.918535 41.6323 11.959329
11 63.709337 41.598215 12.195647
12 63.649514 40.783699 13.382827
13 70.472142 41.136352 14.219973
14 70.97327 41.302188 15.257108
15 70.472142 41.645742 14.510594
16 63.649514 41.610785 13.898225
17 63.459186 39.887687 15.937309
18 63.39645 40.994969 13.912291
19 57.365272 39.447002 16.25018
20 56.653883 38.26687 17.329975
21 56.647232 38.552004 16.287979
22 56.590215 38.010947 16.749656
23 56.524961 39.455666 14.770874
24 56.518394 38.021869 16.341339
25 56.431904 38.026503 15.733952
26 56.427946 37.985414 15.493454
27 56.381709 35.776148 18.0467
28 56.354834 36.806137 16.20019
29 56.326878 37.016348 15.278995
30 56.307531 36.749969 15.074237
31 56.253623 36.090193 15.679206
32 56.245391 36.15608 15.660393
33 67.374094 37.45774 14.958959
34 56.245391 37.925855 13.627595
35 56.192784 35.907729 16.388815
36 56.179786 34.75714 17.007486
37 56.032007 34.634493 16.47885
38 55.981754 34.363098 16.562653
39 55.34517 34.26582 15.863498
40 54.053153 33.595349 16.159244
41 63.811721 34.837377 15.785183
42 54.053153 34.501134 15.569455
43 53.888576 33.500077 17.010826
44 49.598593 33.338416 17.27054
45 49.521462 34.625515 16.147698
46 49.516228 34.300369 15.810066
47 49.498676 35.373124 14.633337
48 49.472942 34.921828 15.49689
49 70.417914 37.819743 14.313261
