

gen best mean std
0 42.183069 -3.529107 9.465121
1 49.619494 3.1413 14.784331
2 70.96515 3.840468 16.094519
3 56.724096 11.225833 16.063396
4 63.878744 13.303331 17.217324
5 49.470358 10.242186 17.584636
6 56.470904 9.428372 18.067936
7 56.461525 10.05864 17.918552
8 63.453441 12.76224 18.15009
9 49.725612 7.537644 16.973868
10 70.784954 13.44618 18.064137
11 56.803506 8.371487 17.361193
12 70.889567 11.865772 18.59634
13 56.189361 12.665289 18.362542
14 71.107378 14.422604 21.538718
15 70.973442 15.369164 22.342144
16 56.315519 9.851244 17.474071
17 70.914457 11.564454 21.544683
18 70.711755 13.110116 19.837861
19 63.064135 11.321574 18.272795
20 70.636174 10.900981 19.381166
21 63.375575 10.753007 18.328502
22 56.663545 12.558595 19.60008
23 78.55511 13.30353 21.445124
24 63.747853 12.946174 19.918549
25 56.740845 12.507374 15.842368
26 70.570594 11.723685 17.397587
27 70.620158 12.064549 18.302781
28 35.02419 8.630484 15.336186
29 56.663221 9.249459 16.376408
30 49.538257 9.347494 17.021997
31 63.566334 11.652516 18.316258
32 56.737652 11.312207 17.334411
33 56.529896 14.237043 18.895945
34 48.962125 9.368547 16.617326
35 56.772088 14.278327 18.698875
36 56.651823 10.996877 18.149868
37 70.694736 12.513106 18.68671
38 63.710329 11.306295 18.06786
39 42.277261 8.384188 15.684796
40 63.737996 18.276427 19.587787
41 70.566545 12.614198 19.462184
42 71.005572 13.042601 20.732782
43 70.830882 10.330924 21.236758
44 70.766807 11.944185 19.594626
45 70.866934 13.20517 17.378419
46 70.74242 14.890549 18.733929
47 63.431168 11.090228 19.058787
48 63.638532 9.677788 17.828806
49 49.146976 11.770706 17.016814

gen best mean std
49 49.146976 11.770706 17.016814
