

gen best mean std
0 28.138865 -3.838168 7.853127
1 40.76277 6.121759 12.755592
2 28.16517 15.183289 11.146818
3 42.124677 25.417205 6.03523
4 42.32931 28.14995 1.738424
5 49.037605 28.559185 3.503946
6 49.037605 28.940309 3.549351
7 63.973356 29.380282 6.970158
8 63.94608 29.77824 6.473997
9 56.633187 29.147967 8.15343
10 49.159801 30.173553 5.436351
11 49.037605 28.511652 8.588386
12 46.999304 27.951289 8.63093
13 46.894432 27.49093 8.986803
14 42.597184 28.04528 8.715166
15 42.403744 26.533696 10.727114
16 42.360203 25.390653 11.43541
17 42.32931 26.193319 9.874664
18 55.71107 28.425629 7.821286
19 46.895485 27.175399 9.132816
20 42.32931 25.804625 11.038478
21 55.814472 26.487259 11.264473
22 49.391845 26.124167 11.51852
23 42.32931 25.180952 12.239403
24 49.396295 27.62052 10.572584
25 49.501521 28.39297 9.710866
26 63.83033 28.517963 10.871043
27 49.501521 27.614535 11.316568
28 49.759468 28.968426 10.354381
29 49.501521 28.168473 11.661994
30 49.396295 26.1463 13.592805
31 42.32931 26.046306 13.202054
32 46.784245 27.451135 12.134272
33 42.32931 25.827476 13.135998
34 48.668217 25.890092 13.29023
35 42.32931 25.694271 12.915805
36 47.013392 26.691206 12.343274
37 42.32931 27.040583 11.690736
38 42.244612 26.223761 12.909579
39 42.215989 26.25232 12.429738
40 42.215989 27.073353 11.096666
41 42.19316 27.336425 11.159914
42 42.19316 28.044717 10.248707
43 42.183671 28.057658 11.035348
44 53.749801 29.989955 10.13148
45 55.751058 31.176671 10.304159
46 60.337979 32.318159 10.059398
47 55.751058 33.016767 9.271609
48 53.749801 33.224143 8.407116
49 50.987501 31.897434 10.542829
