

gen best mean std
0 20.328805 -5.09644 4.808906
1 34.962845 -1.313506 10.296266
2 34.62787 4.349363 14.554748
3 63.790164 11.606051 18.726951
4 64.026137 8.82286 17.340354
5 78.249932 10.209871 18.009526
6 63.844858 9.987207 17.903797
7 56.528032 13.444436 17.772468
8 70.787764 12.169935 19.213102
9 70.407228 13.033608 17.942683
10 77.824449 12.566493 18.785168
11 49.678043 6.750915 15.985379
12 49.054349 12.186482 16.768777
13 56.399108 13.598698 18.147918
14 49.508323 13.291444 17.366428
15 56.248216 10.183109 17.115131
16 56.557976 11.258369 15.987205
17 49.016988 8.958242 16.327069
18 56.696647 10.979785 18.328545
19 49.676019 6.048074 14.914349
20 49.191744 7.337984 15.61341
21 42.18176 10.183272 16.463574
22 56.473442 14.815022 16.054118
23 49.170032 7.809765 16.966699
24 49.189779 10.661459 16.019287
25 70.611981 11.105395 17.040157
26 56.295471 9.016376 15.423522
27 56.846624 9.447045 17.308967
28 56.473878 10.606824 19.582262
29 56.57239 7.423152 17.351284
30 49.527606 12.878381 17.385266
31 56.253167 10.21477 16.861564
32 42.327312 11.053788 17.765322
33 49.614579 6.330641 16.50302
34 56.389412 10.214743 16.94568
35 56.616001 10.719075 17.602834
36 56.870843 11.165987 17.097966
37 56.02158 8.217125 16.260724
38 56.774826 9.549226 16.610725
39 49.639172 10.13099 15.818147
40 42.297062 11.963464 15.822721
41 48.660803 10.910804 15.99322
42 41.634132 9.566258 14.828125
43 63.453628 10.923864 17.777331
44 70.91778 11.706853 18.490295
45 63.233996 11.090799 17.259749
46 42.026156 9.554483 16.459511
47 49.331493 10.490546 16.85661
48 63.861152 8.928224 17.638581
49 42.148303 7.910257 15.685277

gen best mean std
49 42.148303 7.910257 15.685277
