

gen best mean std
0 35.207122 -3.073277 8.907322
1 42.35981 7.800144 15.184431
2 31.626708 9.941395 15.539144
3 51.496028 13.987069 16.587283
4 35.174216 9.186256 16.156087
5 35.103081 9.809488 15.61041
6 56.903584 11.228184 17.438008
7 49.413246 11.520933 16.021409
8 56.61498 14.810319 15.290746
9 49.4727 9.953859 16.220863
10 42.106993 7.406348 15.862862
11 42.271325 12.952487 15.613196
12 49.412402 6.141006 15.6062
13 63.999827 9.617307 16.917797
14 42.461499 10.060324 16.047755
15 56.055478 10.218613 17.090681
16 56.735333 13.656641 18.651569
17 56.61893 11.447784 18.771093
18 70.548846 9.462213 17.859009
19 62.885119 12.467426 17.552616
20 70.921375 8.804079 18.123341
21 56.72452 10.682226 18.511879
22 56.199771 8.955221 17.705895
23 56.044472 7.569473 17.40831
24 71.074388 8.376985 18.528222
25 49.661968 11.387304 17.261785
26 70.95295 10.610685 19.320405
27 63.457895 12.807302 18.15738
28 70.869294 10.820222 19.542816
29 56.391482 13.222793 18.178727
30 70.928084 15.045443 19.834062
31 56.613318 11.071952 17.402173
32 63.709382 14.357347 17.754468
33 70.821555 13.616115 19.541529
34 70.970455 14.416782 19.50057
35 70.955333 11.587411 19.066836
36 56.411106 9.156551 19.024696
37 49.348586 7.994915 17.228146
38 49.304554 13.388139 17.101767
39 49.383199 9.887497 16.60194
40 70.861465 11.550662 18.504846
41 63.539867 10.912101 16.916884
42 49.300715 11.918886 16.421031
43 49.547049 12.49548 17.140277
44 70.757356 15.813016 18.867885
45 70.981717 11.149394 19.277899
46 56.661605 11.238975 17.573624
47 56.456041 10.813394 18.892773
48 70.470218 11.471795 18.774146
49 49.313828 4.904136 15.740034

gen best mean std
49 49.313828 4.904136 15.740034
