

gen best mean std
0 30.923611 -3.385384 8.555462
1 30.914608 6.304132 13.722294
2 49.486699 19.57241 11.825377
3 49.626277 28.081453 6.566881
4 56.558246 30.186397 7.258338
5 73.400683 32.506194 9.374622
6 63.425329 33.124255 10.340212
7 56.6595 34.61665 10.234826
8 70.502181 36.335278 12.197394
9 70.728426 39.257259 12.23754
10 70.502181 40.321709 12.319462
11 69.790013 39.681208 12.654238
12 63.725521 40.497939 10.377464
13 63.400003 38.113664 14.903286
14 56.805061 36.564072 17.205335
15 56.6595 37.720711 15.16517
16 56.604977 39.28733 12.781695
17 63.596867 40.930114 12.278576
18 56.725411 40.61108 12.883507
19 56.614064 38.631641 15.800979
20 56.614064 39.156449 15.252637
21 56.612091 38.514936 15.8328
22 56.604977 38.428662 15.405957
23 56.558246 36.79013 17.271401
24 56.550816 37.014044 16.179839
25 56.45815 37.233445 15.780514
26 71.221362 38.428103 15.12358
27 56.45815 38.410571 14.996904
28 56.429215 36.088107 17.912517
29 56.403112 36.587575 17.289675
30 56.310084 36.033119 17.5439
31 56.244097 36.43723 16.732398
32 56.224484 37.777276 14.939146
33 56.148156 37.774458 15.555751
34 56.471686 39.738297 13.865003
35 56.471686 40.732725 13.127028
36 56.391677 40.037316 15.367679
37 56.163653 40.599593 14.309992
38 56.148156 39.428234 14.974959
39 56.104368 39.47241 14.330468
40 70.921375 40.301767 14.252941
41 56.104368 38.532748 16.462061
42 56.096767 39.091305 14.932901
43 56.043814 37.713429 16.504807
44 56.02967 36.716206 17.033191
45 55.995912 36.967038 16.216169
46 55.967082 34.603982 18.954144
47 55.941446 35.987217 16.447534
48 55.809772 35.780736 16.519961
49 55.721707 36.34659 15.214378
