

gen best mean std
0 42.183069 -3.529107 9.465121
1 42.301096 6.657492 15.022883
2 42.339562 8.395999 16.010854
3 42.3283 9.762138 16.075637
4 63.489115 13.137727 17.497357
5 56.59865 11.89072 17.430204
6 70.879266 11.351717 18.604922
7 49.430329 9.073209 16.113048
8 56.649577 11.503107 16.283808
9 85.840377 9.967632 17.794037
10 56.576394 13.249363 17.690083
11 70.942949 11.444868 18.903345
12 70.886935 14.267281 20.400958
13 56.293903 14.52876 18.056106
14 49.402825 10.856014 15.911326
15 49.474272 7.866914 16.369364
16 63.04279 12.902217 18.267914
17 56.09951 10.436973 18.252537
18 56.629423 8.182512 18.052962
19 56.535925 11.657559 17.372677
20 49.411482 9.586807 16.306269
21 49.147788 13.340116 17.535045
22 70.966309 6.89993 17.343101
23 70.600716 13.117238 19.284431
24 70.69183 13.320307 18.269988
25 42.472683 9.243028 15.804717
26 42.301669 14.461013 15.866282
27 70.690732 10.441652 18.212875
28 49.42769 9.162522 16.466263
29 63.512662 11.714773 17.580175
30 57.292521 8.685482 16.938183
31 70.735462 6.194444 16.78593
32 63.765487 8.704601 18.112848
33 48.98331 11.236116 16.341503
34 63.94587 12.566036 17.488708
35 56.257706 6.582602 16.118132
36 56.484141 11.405782 18.443809
37 63.73566 10.713694 18.214846
38 56.359569 10.40244 18.008671
39 51.354041 9.392087 17.840966
40 49.147917 8.039173 15.813789
41 63.161978 8.55047 16.380528
42 56.52875 14.322195 16.947721
43 56.507286 6.48231 18.336645
44 60.880217 9.185843 17.590216
45 63.851966 11.517092 17.348182
46 63.695285 11.051587 18.752098
47 63.749914 10.567781 18.120404
48 63.586531 14.731929 17.965385
49 70.878311 14.170258 18.338112
