

gen best mean std
0 34.432641 -4.60253 7.104796
1 34.449779 4.713587 12.720104
2 49.191639 18.231941 11.887324
3 49.615778 26.955225 7.591553
4 56.162293 29.182461 6.075887
5 85.336354 30.734462 8.471311
6 70.176019 30.645163 9.991021
7 60.259344 32.014829 8.907111
8 56.206054 31.907831 9.56803
9 78.020097 32.415717 10.328577
10 56.206054 31.562292 10.044537
11 70.393949 31.953839 12.218026
12 56.206054 32.76673 11.553317
13 56.162293 32.174438 12.451526
14 55.957752 31.24502 13.022166
15 52.029153 29.088378 15.036897
16 63.989837 30.82003 13.853378
17 52.029153 32.529537 11.165521
18 49.687792 32.636581 10.464913
19 49.615778 32.085213 11.260634
20 49.503847 32.993045 9.631535
21 63.090641 34.143619 9.115355
22 56.045899 32.507028 11.809599
23 56.642453 33.42626 11.039667
24 56.045899 32.191785 12.470728
25 49.503847 32.157133 11.631957
26 49.29139 31.306203 12.200992
27 49.261012 31.50992 11.687906
28 49.196199 30.890498 12.603355
29 49.191639 29.839011 13.989193
30 49.147996 29.252877 14.319032
31 49.072785 27.382733 16.052372
32 48.472438 28.758688 14.244767
33 48.177129 28.401968 14.441823
34 46.962707 27.211549 15.621461
35 46.962707 27.354352 15.258343
36 46.826876 27.204447 15.03637
37 44.071552 28.755557 12.801192
38 56.051142 28.758099 13.477276
39 62.800155 31.073524 13.469215
40 57.845322 30.790674 13.12004
41 84.611031 31.824408 13.573563
42 57.845322 29.841094 15.366451
43 56.051142 30.407383 13.939648
44 49.485405 31.243144 11.771299
45 49.22696 31.588544 11.683899
46 44.071552 31.805161 11.083956
47 44.05643 31.53259 11.898131
48 44.05643 32.636022 9.973561
49 42.424623 31.536159 11.89084
