

gen best mean std
0 28.561567 -4.859597 7.037988
1 28.571879 1.4422 10.381886
2 46.980873 12.640735 11.935786
3 41.512 21.842228 9.237627
4 42.410758 26.661777 6.170474
5 70.087819 29.549756 6.959865
6 49.414209 29.740545 5.947038
7 49.348297 29.62475 7.623157
8 49.172791 30.208818 6.000031
9 56.535457 29.747683 9.189921
10 49.172791 29.392067 9.278671
11 48.893118 28.695587 10.012385
12 70.895431 31.318864 8.920293
13 63.559726 31.063958 9.77421
14 56.869447 31.237252 9.29353
15 48.893118 29.686415 10.866971
16 49.506259 30.812905 9.217028
17 48.893118 29.990369 9.696392
18 48.850571 28.877947 11.442843
19 47.085713 28.339799 11.616359
20 42.524982 27.857318 11.858052
21 63.358191 29.092789 11.940168
22 56.568756 31.716733 9.849355
23 56.754075 32.714237 10.028246
24 56.568756 32.643763 9.925288
25 56.56282 31.29243 12.112896
26 56.551252 30.631182 12.174687
27 49.681605 29.182311 13.196346
28 56.485907 30.708371 12.190332
29 49.681605 30.852815 11.674457
30 70.817852 31.513021 12.448787
31 63.863439 33.225373 9.949117
32 49.681605 31.848884 11.366251
33 49.528762 32.163009 10.225106
34 49.487413 29.676207 13.412739
35 51.254126 32.342607 9.4882
36 56.45974 31.955394 12.632853
37 51.254126 33.601557 9.323796
38 49.487413 33.43737 9.97764
39 49.476075 33.899741 9.818143
40 49.389518 31.850915 13.696126
41 49.254566 31.283448 13.954449
42 53.898777 33.092047 11.439452
43 49.254566 31.843867 12.51086
44 42.524982 31.545896 13.064355
45 70.423271 31.553695 14.357334
46 70.423271 32.621047 14.169652
47 70.409165 32.598469 13.765642
48 56.003152 31.818675 14.131445
49 54.973997 31.340457 14.233834
