

gen best mean std
0 30.982932 -3.129667 8.551116
1 33.004988 6.608914 12.uuuuuuuuuuuu
2 49.249422 20.443176 9.996743
3 56.450232 27.417373 6.638478
4 63.978338 30.789627 7.180038
5 56.585176 31.501483 9.0796
6 70.774531 32.464244 9.757902
7 56.585176 32.617404 9.674283
8 56.450232 32.420057 10.080586
9 56.353288 32.579454 9.172529
10 77.82108 33.993231 9.915925
11 71.241216 34.957857 10.712476
12 56.483647 34.147844 12.539915
13 56.353288 34.950369 12.236851
14 56.589266 36.810274 10.86472
15 63.225062 37.767621 11.287035
16 56.59075 37.041073 12.877367
17 56.589266 37.081401 13.138761
18 56.471422 35.796154 14.57326
19 56.353288 36.006129 13.248862
20 56.353288 36.386272 13.476231
21 56.154823 34.592115 16.116044
22 56.079775 34.326889 15.934035
23 56.028207 35.306422 14.127898
24 56.014317 34.917399 13.94678
25 55.999348 35.094964 13.459906
26 55.915786 33.816242 15.488672
27 55.791729 34.409944 14.245261
28 51.317302 33.363278 15.271831
29 49.658058 32.732335 15.702901
30 70.92132 34.97046 13.448664
31 49.658058 34.703589 13.185827
32 49.647109 33.82669 14.715383
33 49.592884 34.830905 13.423125
34 63.558673 35.046772 14.114577
35 56.098056 35.928693 12.38802
36 70.979467 35.950848 13.449436
37 70.979467 35.989209 14.774014
38 70.956651 36.10929 13.022599
39 56.098056 35.552429 13.459228
40 49.592884 33.517042 16.384495
41 49.554291 34.2676 15.464476
42 49.547009 33.587515 15.909834
43 49.541121 33.744701 15.517876
44 49.499668 32.974091 15.297518
45 56.535939 34.336309 14.682042
46 49.499668 33.96192 14.603185
47 49.484706 33.666482 14.824051
48 49.437274 32.843855 15.472945
49 49.337395 32.259561 15.956138
