

gen best mean std
0 48.418731 -3.767714 9.074095
1 48.418731 4.966174 12.171794
2 49.494451 15.558508 12.134333
3 49.57449 22.890148 9.797413
4 49.548251 29.369989 6.924207
5 56.617932 30.936066 8.632433
6 56.492813 31.707133 7.095444
7 56.441962 32.383634 8.301302
8 56.552858 34.187476 9.528407
9 56.491299 33.972908 10.602177
10 56.441962 34.890118 9.997065
11 53.965239 34.997533 8.885018
12 63.762378 34.453984 11.832052
13 70.873428 35.760139 12.593787
14 63.762378 36.375931 13.681945
15 77.594051 38.944847 12.764126
16 63.762378 38.349827 12.637689
17 63.54401 37.114064 15.254769
18 60.875962 36.904107 15.584817
19 56.605085 36.320943 16.218778
20 70.498268 36.952466 16.185453
21 56.605085 36.588909 16.139397
22 56.26684 35.926976 16.4812
23 78.047464 36.902304 16.445909
24 72.473577 40.599734 12.091044
25 70.626826 39.582587 13.410919
26 70.47123 38.902607 15.608243
27 56.26684 38.780721 14.703054
28 56.260306 37.480701 16.483964
29 56.221172 37.098949 16.947518
30 70.934579 37.958349 16.856825
31 56.221172 39.32223 14.310712
32 56.6373 39.095297 15.231602
33 56.62881 39.583482 14.269776
34 56.221172 37.657827 16.934682
35 56.107959 36.859339 17.31914
36 56.059754 37.469357 15.730567
37 55.844109 36.984519 15.817642
38 55.831928 35.392726 17.537689
39 53.965239 34.646992 17.980705
40 52.748247 36.473735 15.067287
41 51.62858 37.374162 14.732182
42 50.812248 37.133022 14.876882
43 49.811169 36.956951 15.120694
44 71.188874 38.478237 15.308538
45 56.560531 38.653969 14.412815
46 56.3418 39.30213 12.796167
47 56.176745 38.29078 14.794191
48 49.811169 37.577041 15.191705
49 49.732403 37.032529 15.41453
