

gen best mean std
0 28.096119 -3.91745 8.745022
1 28.217794 2.089674 13.18832
2 56.531773 11.312464 17.827491
3 63.794841 14.718557 17.306903
4 63.615644 12.087304 16.869971
5 63.391073 10.802188 16.940522
6 56.657537 12.043466 16.841725
7 56.583098 10.487205 16.684865
8 56.556172 13.177782 17.378079
9 48.755281 11.965997 16.782262
10 56.246476 10.200444 17.334424
11 49.598053 8.620915 17.813425
12 63.80072 11.123684 17.58235
13 84.975298 9.697572 19.374755
14 70.976566 7.393411 16.782906
15 56.439289 8.692852 17.855543
16 49.272758 9.041332 17.234808
17 78.224782 12.66313 18.695804
18 56.862406 9.73315 18.26034
19 70.609787 12.366044 19.843557
20 70.599968 6.975631 17.70941
21 63.442621 13.558013 18.574699
22 56.744429 13.874355 18.510417
23 71.109944 13.484756 20.300037
24 70.180191 11.173182 18.364514
25 85.716372 14.541212 20.286566
26 63.601221 13.329413 20.256852
27 56.721819 11.440887 17.288405
28 70.377208 11.750502 19.492259
29 70.877798 11.391692 20.879679
30 49.317601 11.910024 17.676336
31 56.289943 8.374005 16.755367
32 56.768601 9.483256 19.740165
33 70.993497 12.046311 20.400495
34 70.686652 8.662873 19.833372
35 49.512005 11.573627 17.777992
36 71.142661 11.356802 18.817592
37 70.851826 12.402797 19.025254
38 55.813595 6.576481 17.075408
39 48.784559 11.444794 16.553256
40 57.663591 6.821435 17.279509
41 49.338767 6.511938 16.731659
42 70.576491 11.371324 18.506572
43 49.462579 9.578123 17.30847
44 63.593752 13.16764 19.285139
45 63.98212 12.822411 19.122993
46 63.825689 11.847439 19.620037
47 56.663117 9.436973 17.730069
48 56.627478 14.79064 17.175133
49 44.146804 9.112288 16.499485
