

gen best mean std
0 28.121137 -5.618165 6.100686
1 70.262405 -0.47351 12.514746
2 35.311994 3.30676 13.457056
3 63.788504 9.767228 17.32142
4 56.735285 8.401083 16.553939
5 42.360808 6.498746 15.688458
6 35.226893 6.111136 15.431748
7 49.48025 12.541358 16.657428
8 42.267427 10.353333 16.189199
9 63.747773 10.276513 17.373973
10 35.214861 9.74071 15.32034
11 56.346177 13.30169 17.201307
12 70.702266 11.032908 18.1327
13 71.008016 11.788529 18.84349
14 42.174124 11.105744 16.869321
15 63.513312 10.428745 18.057276
16 56.317751 10.759342 16.985014
17 57.310312 10.587833 17.053389
18 53.726238 8.913025 16.623729
19 77.037115 11.203063 17.923555
20 49.152964 7.975374 15.728171
21 56.818083 11.907349 18.473432
22 56.384119 8.54703 17.991132
23 49.233373 8.919431 17.429186
24 49.396647 10.688352 16.199941
25 70.851876 12.061371 17.64028
26 49.240477 14.56938 18.099226
27 63.584525 11.930343 18.345363
28 56.59075 11.639748 17.907847
29 56.487001 13.436464 16.971555
30 56.830482 11.261897 16.579813
31 57.058316 10.859483 17.761285
32 49.120473 10.730291 15.954581
33 56.398572 10.405805 17.121063
34 49.343358 10.019973 17.006993
35 48.907782 8.101743 16.709403
36 69.845721 14.674889 18.722269
37 56.583355 8.909927 17.042779
38 42.472018 8.517953 17.331812
39 70.934905 8.14899 18.759345
40 49.409443 12.087175 17.901324
41 70.752037 6.742411 17.205119
42 56.745539 10.924472 19.23813
43 56.515176 10.954109 18.851513
44 70.773661 9.80656 18.540193
45 77.262581 12.717596 20.593766
46 63.270659 10.661163 18.194163
47 56.277903 9.03394 17.943965
48 56.455151 9.113951 18.029059
49 56.552252 9.990667 17.428932
