

gen best mean std
0 28.121461 -4.978706 6.961382
1 55.686519 1.48792 11.684012
2 55.692802 8.104791 12.236052
3 53.641195 18.224008 10.471526
4 49.269033 23.92793 7.584438
5 42.369659 26.215798 5.527332
6 49.374201 27.925388 4.996122
7 70.983429 28.881703 6.416898
8 55.874499 29.6579 6.220359
9 56.698176 29.400808 8.323564
10 58.467388 31.097559 8.063781
11 56.698176 30.559162 8.58168
12 56.525854 30.278999 10.152161
13 70.998803 31.4161 10.964171
14 56.525854 31.253141 10.689535
15 55.874499 29.919694 12.693071
16 49.876266 30.169718 11.702446
17 49.789418 30.857728 11.303799
18 49.477832 30.779874 10.916468
19 49.476691 30.005762 12.076005
20 49.374201 30.182842 11.330461
21 49.339629 30.023391 11.490089
22 49.292433 28.938558 12.463373
23 56.52373 30.42208 11.804761
24 50.622217 30.988648 11.333819
25 49.292433 30.321105 12.613253
26 52.711614 32.106279 10.287188
27 49.292433 32.017923 11.146457
28 49.723063 32.025037 12.031619
29 50.951693 33.643976 10.141801
30 49.723063 31.773409 13.474818
31 49.320548 31.747504 12.729084
32 49.292433 31.722255 12.335156
33 49.092447 30.670362 13.055178
34 49.076446 31.314848 11.924516
35 48.560064 31.429189 11.887357
36 49.18468 32.524618 11.499881
37 48.560064 31.688207 12.287767
38 47.948185 31.41049 12.215264
39 47.40493 31.316503 11.646175
40 43.257482 31.449746 11.774413
41 43.09631 30.649292 12.846309
42 42.438536 30.589166 12.458517
43 49.348775 31.006122 12.634231
44 49.413445 31.335955 12.092738
45 49.348775 31.598539 12.479487
46 49.129188 30.850054 13.018417
47 44.669015 29.819652 13.82155
48 42.438536 30.918992 12.441346
49 42.402823 30.548758 12.035369
