

gen best mean std
0 28.11731 -3.126983 8.609405
1 35.062544 3.720105 11.79659
2 70.816248 14.86495 12.453375
3 48.881379 23.632602 9.27397
4 86.297718 28.321866 9.860721
5 70.307195 29.908799 10.850002
6 70.79203 31.567264 10.170274
7 70.307195 31.133986 11.597921
8 56.306248 32.049239 11.010821
9 49.523184 32.519009 11.169203
10 63.604055 31.83879 13.546424
11 56.579699 32.285923 12.97068
12 49.523184 33.072022 11.606582
13 56.615164 34.535253 9.92089
14 49.523184 33.328471 12.42573
15 49.516362 34.44445 11.667353
16 49.483255 34.077068 12.071039
17 49.430268 34.117044 12.19807
18 49.421369 34.18346 12.179115
19 49.229131 33.240084 13.375296
20 53.899919 34.48254 12.053718
21 63.087696 34.91343 12.769199
22 53.899919 34.027222 13.104717
23 49.511283 32.441951 14.742861
24 49.229131 31.923142 15.134007
25 56.320014 33.324082 13.769269
26 49.229131 32.718173 14.470468
27 70.405135 33.754733 14.537821
28 55.978143 33.849348 13.195932
29 49.229131 34.153304 11.898966
30 49.171676 33.540805 12.815994
31 49.127758 33.223569 13.358488
32 49.108883 32.312195 14.517688
33 49.065195 30.972921 15.453093
34 49.046028 30.922044 15.443231
35 48.997343 31.430945 14.056055
36 48.931597 31.447383 13.723324
37 48.881432 31.550657 12.764785
38 63.396774 32.217682 12.87437
39 48.881432 32.510246 11.70127
40 49.203027 33.288326 11.291189
41 48.881432 33.121566 11.093058
42 49.584852 33.057348 11.71251
43 48.881432 32.107606 13.407278
44 48.881379 30.848722 14.406095
45 48.863673 31.08251 13.259377
46 57.022315 33.083267 11.926034
47 49.45147 31.963841 13.392065
48 48.863673 31.452935 14.19442
49 47.322817 31.909915 13.136715
