

gen best mean std
0 31.675433 -3.099525 9.502377
1 35.023084 6.18223 12.136605
2 42.289998 17.07122 11.244765
3 56.561727 25.039723 8.537937
4 63.801928 29.670215 7.876123
5 63.544359 29.924034 9.706303
6 67.398504 31.783091 10.30793
7 63.544359 33.430326 9.317208
8 63.532996 33.078774 10.547927
9 56.561727 34.150395 8.79341
10 56.496233 34.153165 9.586398
11 49.788585 34.591719 8.413041
12 49.599957 33.962438 10.084632
13 49.593251 33.878049 10.81488
14 49.519305 34.506646 11.304272
15 56.328302 36.625409 7.758012
16 63.747203 36.157467 10.621354
17 56.328302 35.453108 11.723297
18 56.328302 37.264678 10.030867
19 63.757718 36.247282 14.15091
20 63.69531 36.042646 14.605789
21 56.698078 35.756623 14.756432
22 56.328302 34.931062 15.835879
23 56.305043 35.039984 15.723627
24 56.290543 34.830064 14.96228
25 55.746983 34.371351 15.120981
26 49.5785 34.031973 15.135908
27 49.525397 34.442479 13.403237
28 49.519305 33.739686 14.196322
29 49.421971 32.81988 15.183912
30 49.343783 33.058663 14.341285
31 49.339791 32.685204 14.419256
32 49.260243 32.503066 14.205026
33 49.243764 32.660083 13.500748
34 49.236396 32.188515 13.816972
35 49.208542 32.188756 14.174158
36 49.178925 31.273135 15.306045
37 49.170878 30.23924 15.72577
38 49.11863 29.318682 16.640988
39 48.900561 30.024901 15.441922
40 56.701667 31.887886 14.478261
41 49.537876 31.554385 14.352153
42 48.900561 32.020486 13.607443
43 48.881515 32.213707 12.440396
44 48.802179 31.458081 13.184145
45 48.6964 29.869471 14.90578
46 48.63707 30.124793 14.064105
47 48.603759 29.525442 14.823413
48 47.821362 28.663369 15.187367
49 47.272474 29.156125 14.434902
