

gen best mean std
0 41.482919 -3.784869 8.805789
1 28.177442 -1.00778 10.972054
2 28.205121 8.279782 14.917861
3 35.165245 11.606949 15.55976
4 41.756797 6.617226 15.628477
5 56.562875 6.638755 16.444849
6 56.648243 6.117196 15.846984
7 63.462666 10.964402 17.651142
8 53.744248 7.245441 16.326355
9 42.463034 11.762303 16.307734
10 57.481804 13.94884 17.280938
11 49.392232 9.99339 15.948615
12 70.921939 9.886067 19.319456
13 63.78235 15.534313 17.648138
14 56.39497 11.402815 18.401162
15 56.545988 8.898187 17.586103
16 70.963148 11.602558 18.272261
17 71.03007 10.907916 19.572052
18 70.973947 9.994303 19.643019
19 56.526793 9.70416 17.055721
20 56.60239 7.767364 16.487471
21 56.686861 10.590111 18.209536
22 56.666015 11.012361 16.853116
23 49.32944 11.047539 16.262824
24 42.327586 10.370881 15.354652
25 41.920176 10.753232 15.90414
26 47.116542 11.611461 15.807194
27 51.647787 9.966093 16.774497
28 55.279067 8.802547 15.311123
29 63.176084 11.71785 17.034372
30 42.170055 7.74609 16.086104
31 49.296396 5.231885 15.173919
32 42.329349 9.97534 15.500377
33 49.110228 10.719596 15.193422
34 49.304756 15.962245 15.306242
35 70.999805 11.810978 18.444776
36 56.473844 13.115784 17.486167
37 70.826549 11.982504 18.325053
38 49.471938 9.461964 17.1782
39 71.020326 9.626472 19.542088
40 54.095047 13.396292 18.03745
41 70.906223 11.099321 19.554496
42 63.796129 9.697171 19.021587
43 70.245431 10.953502 18.115764
44 49.529086 7.226488 16.378138
45 56.792853 7.736113 17.697266
46 42.135265 8.074956 16.120098
47 42.302841 9.89429 17.396527
48 70.619317 12.530256 20.053184
49 63.411344 14.70515 19.007148
