

gen best mean std
0 28.195605 -3.566067 8.806369
1 28.16517 3.334017 12.666064
2 49.451429 8.360535 15.704199
3 63.293815 11.686386 15.629921
4 70.812731 12.324675 17.932121
5 70.916771 11.11088 19.077912
6 56.714357 6.479189 17.012634
7 56.527203 12.77703 17.626774
8 63.502952 13.129118 17.395813
9 70.778821 10.715375 17.289918
10 62.999066 8.207916 17.215666
11 63.833484 10.434743 19.678373
12 42.049049 9.815464 15.801969
13 70.93205 10.286799 18.845753
14 49.811303 13.121555 17.802486
15 56.405511 9.687071 17.367532
16 56.116182 13.373826 18.292591
17 56.557991 11.501867 18.209054
18 70.578808 13.268033 18.126392
19 56.339961 15.916086 16.410024
20 56.204113 11.033132 18.176326
21 56.499936 12.833155 16.656428
22 57.828248 13.176558 16.778858
23 63.922093 11.15667 16.933675
24 56.502465 13.52442 17.39266
25 56.651525 14.136884 17.212228
26 49.420276 10.110744 16.71119
27 70.701494 13.457631 17.552412
28 49.560786 8.384287 15.476725
29 49.505905 12.219983 15.936512
30 70.949538 12.008298 17.163229
31 70.547705 7.895389 18.570624
32 70.982005 14.135603 19.337061
33 63.76309 11.179954 17.503035
34 56.660613 11.409654 16.721616
35 60.841353 9.267819 16.699772
36 31.432891 10.083852 16.480837
37 42.358946 10.78988 16.803631
38 49.522006 15.444859 16.979812
39 49.687478 13.1149 18.518904
40 70.79153 12.515838 17.850518
41 63.342885 9.982142 17.736115
42 57.037636 9.04184 17.741598
43 56.591682 13.548163 17.373174
44 42.407773 12.692285 16.709979
45 70.724684 14.475858 17.50068
46 49.390847 11.576252 15.197415
47 56.175935 7.565841 17.706473
48 56.72319 10.500879 17.228525
49 56.399539 11.684786 17.651811
